ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF19achjqbk,298213100009335,SN2019tbc,02:12:36.58,-13:42:11.2,785.83,g,18.7836,-17.98,37.868,13.162,24.706,SN IIP,0.05,-66.7812911,0.064
ZTF19achajnc,814204200005011,SN2019ttw,07:06:44.09,+59:28:30.6,794.01,r,18.6844,-19.40,25.802,13.851,11.951,SN Ia,0.09,25.02025868,0.131
ZTF19acgrbeb,450215100018691,SN2019tdl,01:44:41.50,+07:56:50.2,791.79,g,17.7062,-19.64,29.068,9.179,19.889,SN Ia,0.064,-52.62737423,0.098
ZTF19acgpqxt,451208200031775,SN2019tht,02:01:15.56,+03:54:22.8,791.79,g,18.123,-19.99,26.427,12.108,14.319,SN Ia,0.09,-54.68323806,0.11
ZTF19acgemzm,727210400047163,SN2019sye,19:15:59.00,+41:16:00.3,788.6,r,18.137,-19.74,27.292,13.25,14.042,SN Ia,0.08,13.25266564,0.194
ZTF19acgbzam,504214300010311,SN2019tbb,02:30:10.59,+14:20:09.3,791.84,r,18.0131,-19.74,25.796,12.151,13.645,SN Ia,0.07,-42.11139236,0.391
ZTF19acfsqjx,865207300024032,SN2019syl,18:03:31.86,+74:49:58.5,790.61,r,18.8277,-18.19,>34.925,13.915,>21.01,SN Ia,0.055,29.23698676,0.151
ZTF19aceuacu,826202200028914,SN2019sqk,18:18:32.82,+59:57:30.5,781.67,g,18.8627,-19.43,24.958,10.332,14.626,SN Ia,0.098,27.28739521,0.103
ZTF19acduqvr,684202200033828,SN2019sqb,18:53:54.42,+31:03:50.6,779.6,r,18.9392,-19.25,>23.208,13.188,>10.02,SN Ia,0.083,13.12491149,0.462
ZTF19acdsqir,656205100019018,SN2019sxd,04:26:14.32,+32:54:14.8,775.86,r,18.8715,-19.24,22.484,8.158,14.326,SN Ia,0.066,-11.22437352,0.976
ZTF19acckggd,615210400014852,SN2019scv,07:40:07.34,+26:32:45.9,768.94,g,18.8166,-19.05,27.169,6.331,20.838,SN Ia,0.08,21.81705242,0.12
ZTF19acchaza,740208300031805,SN2019shx,02:32:02.85,+46:05:50.4,769.96,r,18.3592,-17.86,22.431,10.512,11.919,SN II,0.035,-13.30201201,0.378
ZTF19acbrzzr,395214400021970,SN2019rom,23:57:04.95,-07:21:37.0,797.61,r,18.4789,-17.18,104.77,40.904,63.866,SN II,0.03,-66.39977009,0.112
ZTF19acbonaa,564206300013071,SN2019stc,06:54:23.11,+17:29:31.2,799.97,r,18.639,-20.13,69.622,37.904,31.718,SLSN-I,0.1178,8.50947442,0.229
ZTF19acbhvgi,515201100018370,SN2019roa,07:49:16.06,+09:11:32.8,759.01,g,18.2917,-17.41,46.644,8.612,38.032,SN IIP,0.031,16.98888824,0.055
ZTF19abztknu,606202100015827,SN2019qvt,03:09:01.53,+24:02:38.1,781.82,r,18.187,-19.05,46.974,30.008,16.966,SN Ib,0.0535,-29.00350059,0.481
ZTF19abzhvxk,637203100027511,SN2019qgf,18:30:47.60,+23:25:08.3,754.76,g,18.3851,-19.76,23.726,8.85,14.876,SN Ia,0.083,14.75575745,0.291
ZTF19abymvpq,785205200018859,SN2019qeo,09:22:55.51,+54:01:41.5,751.99,g,17.5208,-19.64,34.485,9.463,25.022,SN Ia,0.06,43.62674833,0.066
ZTF19abyjjxp,462211300051212,SN2019qcj,07:14:47.17,+04:54:24.6,747.98,r,16.8817,-19.65,19.081,8.657,10.424,SN Ia,0.04,7.42240102,0.401
ZTF19abyflzw,800211200034529,SN2019qmm,19:58:04.69,+56:03:55.1,750.69,g,18.8971,-20.38,34.566,12.124,22.442,SN Ia,0.13,13.64354321,0.397
ZTF19abxjrge,505214100033533,SN2019ply,02:59:46.98,+15:17:48.7,749.8,r,17.9117,-17.28,23.288,9.202,14.086,SN IIb,0.02170,-37.37496811,0.397
ZTF19abxfunp,767215200038811,SN2019ptv,20:01:09.50,+50:51:36.3,745.84,r,17.2757,-19.13,24.74,9.194,15.546,SN Ia,0.038,10.6839307,0.389
ZTF19abxekxi,388201200030634,SN2019qfb,20:45:12.02,-12:00:39.8,781.6,r,18.4672,-20.63,>77.445,46.445,>31,SLSN-II,0.1423,-30.62819737,0.118
ZTF19abxdnzt,761208200008180,SN2019pru,15:58:19.58,+46:55:40.8,747.64,g,16.6509,-19.79,32.566,9.964,22.602,SN Ia,0.044,48.56943464,0.031
ZTF19abwouqp,599206400014064,SN2019poc,23:40:57.92,+17:29:44.7,741.7,g,18.424,-19.48,20.376,7.381,12.995,SN Ia,0.075,-42.21520168,0.276
ZTF19abvjdfc,496214400021020,SN2019pkc,23:03:11.32,+06:43:59.1,744.86,r,18.8945,-19.37,31.139,15.204,15.935,SN Ia,0.096,-47.19045751,0.171
ZTF19abuzinv,652209300023795,SN2019pkh,02:19:27.42,+34:04:55.1,798.74,r,18.381,-16.47,118.207,69.181,49.026,SN II,0.02,-25.33422026,0.214
ZTF19abulzhy,847207300015977,SN2019pgu,16:18:42.83,+67:54:00.3,738.68,g,18.5752,-19.88,35.829,9.839,25.99,SN IIn,0.1055,39.01041746,0.103
ZTF19abujhgm,775201400046417,SN2019pfl,02:14:20.72,+51:41:47.7,741.9,r,17.8005,-19.69,21.71,10.861,10.849,SN Ia,0.06,-9.09683189,0.484
ZTF19abuazly,546206400022373,SN2019pjz,22:19:18.80,+10:39:56.0,736.81,g,18.6696,-19.28,22.944,7.847,15.097,SN Ia,0.08,-37.19422371,0.192
ZTF19abtnftd,766211400022033,SN2019ozu,19:27:00.09,+47:56:05.4,733.78,g,18.8326,-19.22,21.187,8.705,12.482,SN Ia,0.08,14.26233611,0.276
ZTF19abtnbtt,637202200005619,SN2019owq,18:36:26.13,+24:00:44.5,730.65,r,18.6714,-18.84,21.494,6.926,14.568,SN Ia,0.065,13.81195498,0.305
ZTF19abqyoxt,814208100022761,SN2019oyt,07:14:29.22,+61:17:22.5,741.97,r,18.3136,-16.49,>77.041,>24.98,52.061,SN II,0.02,26.28595983,0.147
ZTF19abqmpsr,556206200025002,SN2019oml,03:00:20.27,+18:44:37.0,726.0,r,17.2369,-19.04,25.492,7.052,18.44,SN Ia,0.033,-34.50244161,0.603
ZTF19abqjypm,338213400002592,SN2019onp,21:00:02.85,-14:21:52.9,723.76,g,18.3959,-19.51,26.346,8.919,17.427,SN Ia,0.082,-34.88601396,0.109
ZTF19abpzuzd,551212100004788,SN2019okb,00:25:44.69,+20:16:39.8,727.9,g,17.6465,-19.82,26.228,10.253,15.975,SN Ia,0.064,-42.18734897,0.203
ZTF19abpbqor,682203200031114,SN2019ner,17:39:26.89,+31:14:36.2,725.75,r,18.3311,-18.61,25.921,16.969,8.952,SN Ia,0.053,28.13901713,0.159
ZTF19aboxjlj,733203400038067,SN2019nwn,22:28:51.89,+36:56:02.0,715.87,r,18.6541,-19.01,29.178,8.103,21.075,SN Ia,0.07,-17.70529133,0.285
ZTF19abnagzk,772209300048300,SN2019osn,23:44:34.84,+48:21:31.5,715.87,r,18.8761,-19.42,24.079,13.088,10.991,SN Ia,0.09,-13.0388926,0.38
ZTF19ablrkfz,678206400002549,SN2019ntl,15:46:46.93,+32:07:43.7,708.66,g,18.9504,-19.41,25.093,8.059,17.034,SN Ia,0.103,51.82807756,0.065
ZTF19ablpfhz,654214200017612,SN2019mgb,03:12:55.61,+36:23:37.1,709.91,r,18.2869,-19.38,24.346,12.124,12.222,SN Ia,0.06,-18.27702471,0.697
ZTF19ablovot,398202300022646,SN2019mga,01:06:07.77,-06:08:44.9,712.9,r,17.4016,-19.07,20.527,11.644,8.883,SN Ia,0.04,-68.72862856,0.331
ZTF19ablojrw,775206300011467,SN2019mom,01:55:36.52,+53:35:30.8,703.95,r,18.6487,-18.42,18.413,5.717,12.696,SN IIn,0.0488,-8.08735598,0.525
ZTF19ablesob,550216100014668,SN2019moc,23:55:45.94,+21:57:19.7,712.88,r,18.0723,-19.00,21.221,12.706,8.515,SN Ic-BL,0.0558,-39.10323341,0.171
ZTF19abkftvd,300206300022161,SN2021zqo,02:59:06.07,-18:40:17.0,1496.86,g,17.8801,-19.55,32.659,16.657,16.002,SN Ia,0.067,-59.50405012,0.088
ZTF19abkdehm,550207300002286,SN2019mbn,23:58:07.95,+17:46:03.8,709.97,g,18.5519,-19.28,23.6,12.99,10.61,SN Ia,0.08,-43.28020762,0.095
ZTF19abinjcy,848209300013073,SN2019mdw,18:11:05.42,+69:35:33.3,699.81,g,18.8008,-19.05,25.404,8.403,17.001,SN Ia,0.08,28.79780632,0.111
ZTF19abimzvh,736213200000602,SN2019mol,00:26:00.01,+51:22:52.8,703.93,r,18.7626,-19.37,31.284,10.313,20.971,SN Ia,0.08,-11.29051314,0.493
